# time,euler_x,euler_y,euler_z
2.105305576324462891e+01,1.052211419868109843e-03,-1.815151501356386810e-01,2.801563884721647746e+00
2.113605594635009766e+01,7.854858413076426515e-03,-1.965791063003849981e-01,2.800766863782194527e+00
2.121791505813598633e+01,1.189907828557124070e-02,-1.961276380444676448e-01,2.801102231699134748e+00
2.130325222015380859e+01,1.004969491222196254e-02,-1.945194991534595630e-01,2.800788039531780349e+00
2.138716173171997070e+01,1.397587793518906274e-02,-1.854919245543353856e-01,2.802891000399648114e+00
2.146967244148254395e+01,1.499662018849923228e-02,-1.859549048003130700e-01,2.805715808291968649e+00
2.155467629432678223e+01,1.577006179051565482e-02,-1.857080834012247994e-01,2.803827657636981385e+00
2.163880228996276855e+01,2.007284265682196533e-03,-1.771397356834838455e-01,2.801332486118257137e+00
2.172247982025146484e+01,1.000422191976158004e-03,-1.613937916857381971e-01,2.793070160704672844e+00
2.180555939674377441e+01,-2.807294643677438195e-02,-1.380016018209258011e-01,2.798193226816454882e+00
2.188753104209899902e+01,-2.372418658084418652e-02,-1.369735349924923185e-01,2.796225356355882763e+00
2.197189116477966309e+01,3.507453400257043441e-03,-1.338391758364663175e-01,2.785462674964359842e+00
2.205525374412536621e+01,1.232495518217446850e-02,-1.203018799765231961e-01,2.781940414063369005e+00
2.213830065727233887e+01,6.311750454772790953e-02,-8.547115805803406907e-02,2.747014691058985214e+00
2.221976184844970703e+01,7.687735932517147930e-02,-1.025640657208966022e-01,2.734456100944407719e+00
2.230392599105834961e+01,7.870147932786997202e-02,-1.490079056819695325e-01,2.731768787190702152e+00
2.238700723648071289e+01,7.229685677021779888e-02,-1.962950565246937007e-01,2.686521389310891017e+00
2.247018170356750488e+01,3.915278535113109193e-02,-1.707348796599996721e-01,2.659459964453734671e+00
2.255271148681640625e+01,3.884400912712138165e-02,-1.671218513044474552e-01,2.646663021319717757e+00
2.263459467887878418e+01,1.197506010504738594e-01,-1.860248772954145036e-01,2.627065108974957930e+00
2.271782875061035156e+01,1.163097427391996952e-01,-1.980180131903936935e-01,2.628855945436266772e+00
2.280229115486145020e+01,8.323974520421595358e-02,-1.840690767429122854e-01,2.666718622287582274e+00
2.288499951362609863e+01,1.233426459758151239e-01,-1.719613061143376864e-01,2.712116735800070622e+00
2.296847271919250488e+01,1.237166024533804531e-01,-1.574775253873132996e-01,2.733423687721567408e+00
2.305198740959167480e+01,1.609044304894331479e-01,-1.312569009835649059e-01,2.742690675693926217e+00
2.313575887680053711e+01,2.124151911401772619e-01,-1.039695866821004344e-01,2.755369759621718373e+00
2.322005629539489746e+01,2.108841847534654868e-01,-1.220315671698843918e-01,2.760701750314778824e+00
2.330274009704589844e+01,1.985455454935118880e-01,-1.263948646447377033e-01,2.769482692190030626e+00
2.338565230369567871e+01,1.800890015787608434e-01,-1.323011908974751627e-01,2.772703307205898859e+00
2.346903347969055176e+01,1.763059450733155398e-01,-1.322776134418219840e-01,2.775024572579831705e+00
2.355291438102722168e+01,1.762853128915238266e-01,-1.213138793109325153e-01,2.773916631403580357e+00
2.363627433776855469e+01,1.809281543175664808e-01,-1.147867762423586679e-01,2.782873224152598635e+00
